User 23%, System 7%, IOW 0%, IRQ 0%
User 9 + Nice 0 + Sys 3 + Idle 26 + IOW 0 + IRQ 0 + SIRQ 0 = 38

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
15127 u0_a300  10 -10  21% S    31 1979736K 785336K  ta com.function3d.smfunctiondemo
16398 shell    20   0  13% R     1   9388K   1904K  fg top
    3 root     20   0   0% S     1      0K      0K  fg ksoftirqd/0
    5 root      0 -20   0% S     1      0K      0K  fg kworker/0:0H
    7 root     20   0   0% S     1      0K      0K  fg rcu_preempt
    8 root     20   0   0% S     1      0K      0K  fg rcu_sched
    9 root     20   0   0% S     1      0K      0K  fg rcu_bh
   10 root     RT   0   0% S     1      0K      0K  fg migration/0
   11 root     RT   0   0% S     1      0K      0K  fg watchdog/0
   12 root     RT   0   0% S     1      0K      0K  fg watchdog/1
   13 root     RT   0   0% S     1      0K      0K  fg migration/1
   14 root     20   0   0% S     1      0K      0K  fg ksoftirqd/1
   16 root      0 -20   0% S     1      0K      0K  fg kworker/1:0H
   17 root     RT   0   0% S     1      0K      0K  fg watchdog/2
   18 root     RT   0   0% S     1      0K      0K  fg migration/2
   19 root     20   0   0% S     1      0K      0K  fg ksoftirqd/2
   21 root      0 -20   0% S     1      0K      0K  fg kworker/2:0H
   22 root     RT   0   0% S     1      0K      0K  fg watchdog/3
   23 root     RT   0   0% S     1      0K      0K  fg migration/3
   24 root     20   0   0% S     1      0K      0K  fg ksoftirqd/3
   26 root      0 -20   0% S     1      0K      0K  fg kworker/3:0H
   27 root     RT   0   0% S     1      0K      0K  fg watchdog/4
   28 root     RT   0   0% S     1      0K      0K  fg migration/4
   29 root     20   0   0% S     1      0K      0K  fg ksoftirqd/4
   31 root      0 -20   0% S     1      0K      0K  fg kworker/4:0H
   32 root     RT   0   0% S     1      0K      0K  fg watchdog/5
   33 root     RT   0   0% S     1      0K      0K  fg migration/5
   34 root     20   0   0% S     1      0K      0K  fg ksoftirqd/5
   35 root     20   0   0% S     1      0K      0K  fg kworker/5:0
   36 root      0 -20   0% S     1      0K      0K  fg kworker/5:0H
   37 root     RT   0   0% S     1      0K      0K  fg watchdog/6
   38 root     RT   0   0% S     1      0K      0K  fg migration/6
   39 root     20   0   0% S     1      0K      0K  fg ksoftirqd/6
   41 root      0 -20   0% S     1      0K      0K  fg kworker/6:0H
   42 root     RT   0   0% S     1      0K      0K  fg watchdog/7
   43 root     RT   0   0% S     1      0K      0K  fg migration/7
   44 root     20   0   0% S     1      0K      0K  fg ksoftirqd/7
   46 root      0 -20   0% S     1      0K      0K  fg kworker/7:0H
   47 root      0 -20   0% S     1      0K      0K  fg khelper
   48 root     20   0   0% S     1      0K      0K  fg kdevtmpfs
   49 root      0 -20   0% S     1      0K      0K  fg perf
   50 root     RT   0   0% D     1      0K      0K  fg bbox_main
   53 root     RT   0   0% S     1      0K      0K  fg mailbox-10
   54 root     RT   0   0% S     1      0K      0K  fg mailbox-11
   55 root     RT   0   0% S     1      0K      0K  fg mailbox-12
   56 root     RT   0   0% S     1      0K      0K  fg mailbox-13
   57 root     RT   0   0% S     1      0K      0K  fg mailbox-14
   58 root     RT   0   0% S     1      0K      0K  fg mailbox-15
   59 root     RT   0   0% S     1      0K      0K  fg mailbox-16
   60 root     RT   0   0% S     1      0K      0K  fg mailbox-17
   61 root     RT   0   0% S     1      0K      0K  fg mailbox-18
   62 root     RT   0   0% S     1      0K      0K  fg mailbox-25
   63 root     RT   0   0% S     1      0K      0K  fg mailbox-26
   64 root     RT   0   0% S     1      0K      0K  fg mailbox-27
   65 root     RT   0   0% S     1      0K      0K  fg mailbox-28
   66 root     RT   0   0% S     1      0K      0K  fg mailbox-29
   67 root     RT   0   0% S     1      0K      0K  fg isp-mailbox-2
   68 root     RT   0   0% S     1      0K      0K  fg isp-mailbox-3
   69 root     20   0   0% S     1      0K      0K  fg khungtaskd
   70 root      0 -20   0% S     1      0K      0K  fg writeback
   71 root     20   0   0% S     1      0K      0K  fg kcompactd0
   72 root      0 -20   0% S     1      0K      0K  fg crypto
   73 root      0 -20   0% S     1      0K      0K  fg bioset
   74 root      0 -20   0% S     1      0K      0K  fg kblockd
   75 root      0 -20   0% S     1      0K      0K  fg hisi_block_freq
   76 root     20   0   0% S     1      0K      0K  fg spi0
   78 root     20   0   0% S     1      0K      0K  fg sys_heap
   79 root     20   0   0% S     1      0K      0K  fg carveout_grallo
   80 root      0 -20   0% S     1      0K      0K  fg devfreq_wq
   81 root     20   0   0% S     1      0K      0K  fg rdr_lpm3_thread
   82 root      0 -20   0% S     1      0K      0K  fg RDR ISP
   83 root      0 -20   0% S     1      0K      0K  fg dsm_wq
   84 root      0 -20   0% S     1      0K      0K  fg cfg80211
   85 root      0 -20   0% S     1      0K      0K  fg slimbus_lost_sy
   88 root     20   0   0% S     1      0K      0K  fg smcthread/0
   89 root     20   0   0% S     1      0K      0K  fg siqthread/0
