±àºÅ,Ê±¼ä,Ö¡ÂÊ
1,9:38:12,21.6
2,9:38:14,22.01
3,9:38:16,22.81
4,9:38:18,22.19
5,9:38:20,22.44
6,9:38:22,22.13
7,9:38:24,22.84
8,9:38:26,23.31
9,9:38:28,24.47
10,9:38:30,24.21
11,9:38:32,23.59
12,9:38:34,22.34
13,9:38:36,20.86
14,9:38:38,20.1
15,9:38:40,19.35
16,9:38:42,17.17
17,9:38:44,16.52
18,9:38:46,16.34
19,9:38:48,16.25
20,9:38:50,16.45
21,9:38:52,16.58
22,9:38:54,16.28
23,9:38:56,16.28
24,9:38:58,16.17
25,9:39:00,16.16
26,9:39:02,16.14
27,9:39:04,16.31
28,9:39:06,16.11
29,9:39:08,16.26
30,9:39:10,16.23
31,9:39:12,21.6
32,9:39:14,22.01
33,9:39:16,22.81
34,9:39:18,22.19
35,9:39:20,22.44
36,9:39:22,22.13
37,9:39:24,22.84
38,9:39:26,23.31
39,9:39:28,24.47
40,9:39:30,24.21
41,9:39:32,23.59
42,9:39:34,22.34
43,9:39:36,20.86
44,9:39:38,20.1
45,9:39:40,19.35
46,9:39:42,17.17
47,9:39:44,16.52
48,9:39:46,16.34
49,9:39:48,16.25
50,9:39:50,16.45
51,9:39:52,16.58
52,9:39:54,16.28
53,9:39:56,16.28
54,9:39:58,16.17
55,9:40:00,16.16
56,9:40:02,16.14
57,9:40:04,16.31
58,9:40:06,16.11
59,9:40:08,16.26
60,9:40:10,16.23
61,9:40:12,21.6
62,9:40:14,22.01
63,9:40:16,22.81
64,9:40:18,22.19
65,9:40:20,22.44
66,9:40:22,22.13
67,9:40:24,22.84
68,9:40:26,23.31
69,9:40:28,24.47
70,9:40:30,24.21
71,9:40:32,23.59
72,9:40:34,22.34
73,9:40:36,20.86
74,9:40:38,20.1
75,9:40:40,19.35
76,9:40:42,17.17
77,9:40:44,16.52
78,9:40:46,16.34
79,9:40:48,16.25
80,9:40:50,16.45
81,9:40:52,16.58
82,9:40:54,16.28
83,9:40:56,16.28
84,9:40:58,16.17
85,9:41:00,16.16
86,9:41:02,16.14
87,9:41:04,16.31
88,9:41:06,16.11
89,9:41:08,16.26
90,9:41:10,16.23
91,9:41:12,21.6
92,9:41:14,22.01
93,9:41:16,22.81
94,9:41:18,22.19
95,9:41:20,22.44
96,9:41:22,22.13
97,9:41:24,22.84
98,9:41:26,23.31
99,9:41:28,24.47
100,9:41:30,24.21
101,9:41:32,23.59
102,9:41:34,22.34
103,9:41:36,20.86
104,9:41:38,20.1
105,9:41:40,19.35
106,9:41:42,17.17
107,9:41:44,16.52
108,9:41:46,16.34
109,9:41:48,16.25
